uid	similarity	catnum	ti_uid	gene	indication_mesh_id	indication_mesh_term	hcat	acat	ccat	hcatnum	acatnum	ccatnum	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	arow	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	cat	assoc_share	assoc_rank	highest_phase_with_known_outcome	genetic_insight	target_status
PFKFB3-D010190	0.564	2	PFKFB3-D010190	PFKFB3	D010190	Pancreatic Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	366640	D003922	Diabetes Mellitus, Type 1	OTG	NA	Type 1 diabetes	https://genetics.opentargets.org/study/GCST000258	2008	NA	NA	0.816141170364604	0.44	1	Phase I	0.44	1	1	gwas	unsupported target
PFKFB3-D015179	0.687	2	PFKFB3-D015179	PFKFB3	D015179	Colorectal Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	366638	D003093	Colitis, Ulcerative	OTG	NA	Ulcerative colitis [EA]	https://genetics.opentargets.org/study/GCST003045	2015	NA	NA	0.414454852979443	0.68	1	Phase I	0.68	1	1	both	unsupported target
PGF-D001749	0.182	1	PGF-D001749	PGF	D001749	Urinary Bladder Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	0	both	unsupported target
PGF-D001932	0.187	3	PGF-D001932	PGF	D001932	Brain Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase II	0.54	1	2	both	unsupported target
PGF-D003930	0.406	1	PGF-D003930	PGF	D003930	Diabetic Retinopathy	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	NA	gwas	unsupported target
PGF-D005901	0.186	1	PGF-D005901	PGF	D005901	Glaucoma	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	NA	both	unsupported target
PGF-D005909	0.181	3	PGF-D005909	PGF	D005909	Glioblastoma	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase II	0.54	1	2	gwas	unsupported target
PGF-D008113	0.186	2	PGF-D008113	PGF	D008113	Liver Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase I	0.54	1	1	gwas	unsupported target
PGF-D008175	0.188	1	PGF-D008175	PGF	D008175	Lung Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	0	both	unsupported target
PGF-D008268	0.318	1	PGF-D008268	PGF	D008268	Macular Degeneration	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	0	both	unsupported target
PGF-D008269	0.299	4	PGF-D008269	PGF	D008269	Macular Edema	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase III	0.54	1	2	both	unsupported target
PGF-D008527	0.179	3	PGF-D008527	PGF	D008527	Medulloblastoma	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase II	0.54	1	2	gwas	unsupported target
PGF-D009202	0.188	1	PGF-D009202	PGF	D009202	Cardiomyopathies	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	0	both	unsupported target
PGF-D009216	0.181	1	PGF-D009216	PGF	D009216	Myopia	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	NA	both	unsupported target
PGF-D009369	0.213	1	PGF-D009369	PGF	D009369	Neoplasms	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	NA	gwas	unsupported target
PGF-D009447	0.184	2	PGF-D009447	PGF	D009447	Neuroblastoma	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase I	0.54	1	1	gwas	unsupported target
PGF-D010051	0.184	2	PGF-D010051	PGF	D010051	Ovarian Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase I	0.54	1	1	gwas	unsupported target
PGF-D011225	0.183	1	PGF-D011225	PGF	D011225	Pre-Eclampsia	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	0	both	unsupported target
PGF-D012170	0.176	1	PGF-D012170	PGF	D012170	Retinal Vein Occlusion	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	NA	both	unsupported target
PGF-D012512	0.186	2	PGF-D012512	PGF	D012512	Sarcoma, Ewing	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase I	0.54	1	1	both	unsupported target
PGF-D015179	0.189	1	PGF-D015179	PGF	D015179	Colorectal Neoplasms	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Preclinical	0.54	1	NA	both	unsupported target
PGF-D057135	0.278	4	PGF-D057135	PGF	D057135	Wet Macular Degeneration	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	TRUE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase III	0.54	1	2	gwas	unsupported target
PGF-D058456	0.17	3	PGF-D058456	PGF	D058456	Retinal Telangiectasis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	367281	D007014	Hypophosphatasia	OTG	NA	Serum alkaline phosphatase levels	https://genetics.opentargets.org/study/GCST90011900	2021	NA	NA	0.508259625390219	0.54	1	Phase II	0.54	1	2	gwas	unsupported target
PGP-D002318	0.302	1	PGP-D002318	PGP	D002318	Cardiovascular Diseases	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	367484	D008107	Liver Diseases	OTG	NA	Gamma glutamyl transferase levels	https://genetics.opentargets.org/study/GCST90019507	2021	NA	NA	0.035908737360643	0.49	1	Preclinical	0.49	1	NA	gwas	unsupported target
PGP-D003924	0.5	1	PGP-D003924	PGP	D003924	Diabetes Mellitus, Type 2	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	367490	D011628	Puberty, Delayed	OTG	NA	Comparative height size at age 10	https://genetics.opentargets.org/study/NEALE2_1697	2018	NA	NA	0.316773017319964	0.17	1	Preclinical	0.17	1	NA	both	unsupported target
PGP-D008659	0.541	1	PGP-D008659	PGP	D008659	Metabolic Diseases	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	367485	D009765	Obesity	OTG	NA	Hip circumference adjusted for BMI	https://genetics.opentargets.org/study/GCST90020028	2021	NA	NA	0.278513238289206	0.39	1	Preclinical	0.39	1	NA	both	unsupported target
PGP-D009765	1	1	PGP-D009765	PGP	D009765	Obesity	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	367485	D009765	Obesity	OTG	NA	Hip circumference adjusted for BMI	https://genetics.opentargets.org/study/GCST90020028	2021	NA	NA	0.278513238289206	0.39	1	Preclinical	0.39	1	NA	both	genetically supported target
PGR-D000086382	0	3	PGR-D000086382	PGR	D000086382	COVID-19	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	TRUE	NA	367618	D001249	Asthma	OTG	NA	Lung function (FEV1/FVC)	https://genetics.opentargets.org/study/GCST007080	2018	NA	NA	0.249414976599064	0.27	2	Phase II	0.27	2	1	gwas	unsupported target
PGR-D000568	0.229	4	PGR-D000568	PGR	D000568	Amenorrhea	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase III	0.27	3	3	both	unsupported target
PGR-D000740	0.573	3	PGR-D000740	PGR	D000740	Anemia	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase II	0.27	3	2	both	unsupported target
PGR-D000787	0.515	2	PGR-D000787	PGR	D000787	Angina Pectoris	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367627	D006973	Hypertension	OTG	NA	Diastolic blood pressure	https://genetics.opentargets.org/study/GCST006630	2018	NA	NA	0.178210483762296	0.9	1	Phase I	0.9	1	1	gwas	unsupported target
PGR-D001943	0.249	1	PGR-D001943	PGR	D001943	Breast Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Preclinical	0.27	3	0	both	unsupported target
PGR-D002545	0.508	1	PGR-D002545	PGR	D002545	Brain Ischemia	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367627	D006973	Hypertension	OTG	NA	Diastolic blood pressure	https://genetics.opentargets.org/study/GCST006630	2018	NA	NA	0.178210483762296	0.9	1	Preclinical	0.9	1	0	omim/tcga	unsupported target
PGR-D003072	0.038	1	PGR-D003072	PGR	D003072	Cognition Disorders	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Preclinical	0.27	3	0	both	unsupported target
PGR-D003865	0.035	2	PGR-D003865	PGR	D003865	Depressive Disorder, Major	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase I	0.27	3	1	gwas	unsupported target
PGR-D004715	0.236	3	PGR-D004715	PGR	D004715	Endometriosis	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase II	0.27	3	1	gwas	unsupported target
PGR-D006509	0.252	5	PGR-D006509	PGR	D006509	Hepatitis B	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Launched	0.27	3	3	gwas	unsupported target
PGR-D007022	0.513	2	PGR-D007022	PGR	D007022	Hypotension	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367627	D006973	Hypertension	OTG	NA	Diastolic blood pressure	https://genetics.opentargets.org/study/GCST006630	2018	NA	NA	0.178210483762296	0.9	1	Phase I	0.9	1	1	omim/tcga	unsupported target
PGR-D007247	0.228	5	PGR-D007247	PGR	D007247	Infertility, Female	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	2008	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Launched	0.27	3	3	both	unsupported target
PGR-D007752	0.229	5	PGR-D007752	PGR	D007752	Obstetric Labor, Premature	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	2011	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Launched	0.27	3	3	gwas	unsupported target
PGR-D007889	0.233	4	PGR-D007889	PGR	D007889	Leiomyoma	NA	Phase III	Phase III	NA	5	4	TRUE	TRUE	TRUE	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase III	0.27	3	2	gwas	unsupported target
PGR-D008593	1	5	PGR-D008593	PGR	D008593	Menopause	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	367630	D008593	Menopause	OTG	NA	Age at menopause	https://genetics.opentargets.org/study/GCST90026597	2021	NA	NA	0.327183833116036	0.94	1	Launched	0.94	1	3	gwas	genetically supported target
PGR-D008595	0.22	5	PGR-D008595	PGR	D008595	Menorrhagia	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Launched	0.27	3	3	both	unsupported target
PGR-D008599	0.237	5	PGR-D008599	PGR	D008599	Menstruation Disturbances	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Launched	0.27	3	3	both	unsupported target
PGR-D009369	0.332	1	PGR-D009369	PGR	D009369	Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Preclinical	0.27	3	0	gwas	unsupported target
PGR-D011293	0.223	2	PGR-D011293	PGR	D011293	Premenstrual Syndrome	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase I	0.27	3	1	both	unsupported target
PGR-D011618	0.036	2	PGR-D011618	PGR	D011618	Psychotic Disorders	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase I	0.27	3	1	both	unsupported target
PGR-D012559	0.038	2	PGR-D012559	PGR	D012559	Schizophrenia	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase I	0.27	3	1	both	unsupported target
PGR-D013313	0.035	2	PGR-D013313	PGR	D013313	Stress Disorders, Post-Traumatic	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase I	0.27	3	1	gwas	unsupported target
PGR-D015352	0.233	1	PGR-D015352	PGR	D015352	Dry Eye Syndromes	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Preclinical	0.27	3	0	both	unsupported target
PGR-D016889	0.227	3	PGR-D016889	PGR	D016889	Endometrial Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase II	0.27	3	2	gwas	unsupported target
PGR-D018805	0.252	2	PGR-D018805	PGR	D018805	Sepsis	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Phase I	0.27	3	1	gwas	unsupported target
PGR-D020249	0.233	4	PGR-D020249	PGR	D020249	Hormone Replacement Therapy	Phase III	NA	Phase III	4	NA	4	TRUE	TRUE	TRUE	FALSE	FALSE	NA	367619	D004562	Electrocardiography	OTG	NA	Electrocardiogram morphology (amplitude at temporal datapoints) [404 ms]	https://genetics.opentargets.org/study/GCST010796_338	2020	NA	NA	0.447275808133472	0.24	2	Phase III	0.24	2	3	gwas	unsupported target
PGR-D020521	0.532	1	PGR-D020521	PGR	D020521	Stroke	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367627	D006973	Hypertension	OTG	NA	Diastolic blood pressure	https://genetics.opentargets.org/study/GCST006630	2018	NA	NA	0.178210483762296	0.9	1	Preclinical	0.9	1	0	gwas	unsupported target
PGR-D030361	0.239	5	PGR-D030361	PGR	D030361	Papillomavirus Infections	Launched	Launched	Launched	5	6	5	TRUE	TRUE	TRUE	TRUE	TRUE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Launched	0.27	3	3	both	unsupported target
PGR-D052801	0.292	1	PGR-D052801	PGR	D052801	Male Urogenital Diseases	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Preclinical	0.27	3	0	omim/tcga	unsupported target
PGR-D065446	0.208	1	PGR-D065446	PGR	D065446	Premenstrual Dysphoric Disorder	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	367629	D007970	Leukopenia	OTG	NA	White blood cell count	https://genetics.opentargets.org/study/GCST90025985	2021	NA	NA	0.305931321540062	0.27	3	Preclinical	0.27	3	0	both	unsupported target
PGRMC1-D000544	0	3	PGRMC1-D000544	PGRMC1	D000544	Alzheimer Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
PGRMC1-D020961	0	3	PGRMC1-D020961	PGRMC1	D020961	Lewy Body Disease	NA	Phase II	Phase II	NA	4	3	TRUE	TRUE	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Phase II	NA	NA	1	both	unsupported target
PHB-D003924	0.269	1	PHB-D003924	PHB	D003924	Diabetes Mellitus, Type 2	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	368021	D006331	Heart Diseases	OTG	NA	Cardiac problem	https://genetics.opentargets.org/study/GCST90038605	2021	NA	NA	0.377232142857143	0.58	1	Preclinical	0.58	1	0	both	unsupported target
PHB-D009765	0.748	2	PHB-D009765	PHB	D009765	Obesity	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	368033	D049628	Body Size	OTG	NA	Appendicular lean mass	https://genetics.opentargets.org/study/GCST009576	2019	NA	NA	0.442660252242881	0.69	1	Phase I	0.69	1	1	both	unsupported target
PHB-D011471	0.24	2	PHB-D011471	PHB	D011471	Prostatic Neoplasms	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	FALSE	NA	368021	D006331	Heart Diseases	OTG	NA	Cardiac problem	https://genetics.opentargets.org/study/GCST90038605	2021	NA	NA	0.377232142857143	0.58	1	Phase I	0.58	1	1	both	unsupported target
PHEX-D017674	0.5	1	PHEX-D017674	PHEX	D017674	Hypophosphatemia	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	368377	D053098	Familial Hypophosphatemic Rickets	OMIM	NA	Hypophosphatemic rickets, X-linked dominant, 307800 (3), X-linked dominant	https://omim.org/entry/300550	NA	NA	NA	NA	NA	NA	Preclinical	NA	NA	0	both	unsupported target
PI3-D001932	0.035	1	PI3-D001932	PI3	D001932	Brain Neoplasms	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Preclinical	0.19	2	NA	both	unsupported target
PI3-D001943	0.035	1	PI3-D001943	PI3	D001943	Breast Neoplasms	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	FALSE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Preclinical	0.19	2	0	both	unsupported target
PI3-D004938	0.033	3	PI3-D004938	PI3	D004938	Esophageal Neoplasms	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Phase II	0.19	2	2	both	unsupported target
PI3-D004941	0.035	3	PI3-D004941	PI3	D004941	Esophagitis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Phase II	0.19	2	2	gwas	unsupported target
PI3-D005909	0.033	1	PI3-D005909	PI3	D005909	Glioblastoma	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Preclinical	0.19	2	NA	gwas	unsupported target
PI3-D006086	0.033	1	PI3-D006086	PI3	D006086	Graft vs Host Disease	Preclinical	NA	Preclinical	1	NA	1	FALSE	NA	NA	NA	TRUE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Preclinical	0.19	2	0	gwas	unsupported target
PI3-D006976	0.034	2	PI3-D006976	PI3	D006976	Hypertension, Pulmonary	Phase I	NA	Phase I	2	NA	2	TRUE	FALSE	NA	NA	TRUE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Phase I	0.19	2	1	omim/tcga	unsupported target
PI3-D008113	0.035	2	PI3-D008113	PI3	D008113	Liver Neoplasms	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Phase I	0.19	2	0	gwas	unsupported target
PI3-D008527	0.033	1	PI3-D008527	PI3	D008527	Medulloblastoma	NA	Preclinical	Preclinical	NA	2	1	NA	NA	NA	NA	FALSE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Preclinical	0.19	2	NA	gwas	unsupported target
PI3-D009369	0.045	2	PI3-D009369	PI3	D009369	Neoplasms	NA	Phase I	Phase I	NA	3	2	TRUE	NA	NA	NA	FALSE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Phase I	0.19	2	0	gwas	unsupported target
PI3-D014657	0.037	3	PI3-D014657	PI3	D014657	Vasculitis	Phase II	NA	Phase II	3	NA	3	TRUE	TRUE	FALSE	NA	TRUE	NA	369679	D015415	Biomarkers	OTG	NA	Blood protein levels [EA, Elafin]	https://genetics.opentargets.org/study/GCST004365_145	2017	NA	NA	0.179563749675409	0.19	2	Phase II	0.19	2	2	both	unsupported target
